col_1,col_2,col_3,col_4
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[3:0704:007],,,
,e103,주인공,"(밝게) 안녕, 지원 씨! 스타일링 받는 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 새로운 스타일로 변신 중이야. 주인공 씨도 한번 해볼래?"
,,주인공,(호기심 가득) 나도 한번 해보고 싶어. 어떤 스타일을 추천해줄까?
,,스타일리스트,"(미소 지으며) 주인공 씨, 어서 오세요. 지원 씨에게 어울리는 스타일로 변신해드릴게요. 주인공 씨에게도 잘 어울리는 스타일을 찾아드릴게요."
,,박지원,(신나게) 주인공 씨도 같이 변신하면 재미있을 것 같아! 우리 같이 새로운 스타일로 변신하자.
,,주인공,(긍정적으로) 좋아! 나도 기대돼. 그럼 먼저 지원 씨의 변신부터 볼게.
,,,(스타일리스트가 박지원을 스타일링하는 동안 주인공이 지켜본다.)
,,스타일리스트,(완성된 스타일을 보여주며) 어때요? 지원 씨에게 어울리는 멋진 스타일로 변신했어요.
,,주인공,"(감탄하며) 와, 정말 멋져! 지원 씨에게 정말 잘 어울려."
,,박지원,"(미소 지으며) 고마워! 주인공 씨도 한번 해보자. 스타일리스트님, 주인공 씨에게 어울리는 스타일로 부탁드려요."
,,스타일리스트,(웃으며) 알겠습니다. 주인공 씨도 기대하셔도 좋아요.
,,,(스타일리스트가 주인공을 스타일링하는 동안 박지원이 지켜본다.)
,,박지원,"(기다리며) 주인공 씨, 어떤 스타일로 변신할지 기대돼. 정말 잘 어울릴 거야."
,,스타일리스트,"(완성된 스타일을 보여주며) 주인공 씨, 이제 거울을 보세요. 정말 멋진 스타일로 변신했어요."
,,주인공,"(거울을 보며) 와, 정말 멋져! 스타일리스트님, 감사합니다."
,,박지원,"(활기차게) 주인공 씨, 정말 잘 어울려! 우리 같이 멋진 모습으로 변신했네."
,,주인공,"(미소 지으며) 맞아, 지원 씨 덕분에 좋은 경험을 했어. 고마워!"
,,박지원,(활기차게) 나도 즐거웠어! 다음에도 같이 스타일링 하러 오자. 정말 재미있었어.
,,주인공,"(긍정적으로) 그래, 다음에도 같이 오자. 지원 씨와 함께해서 더 즐거웠어."
,,박지원,(미소 지으며) 나도! 그럼 이따가 다 같이 사진 찍자. 오늘의 멋진 변신을 기록으로 남기자.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[4:0706:002],,,
,e104,주인공,"(밝게) 안녕, 지원 씨! 노래 연습 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 오늘은 노래 연습을 좀 더 집중해서 하고 있어. 주인공 씨도 들어보고 피드백 좀 줄래?"
,,주인공,(호기심 가득) 물론이지! 어떤 곡을 연습 중이야?
,,박지원,(신나게) 내가 좋아하는 발라드 곡이야. 감정을 잘 담아서 부르고 싶어.
,,주인공,"(긍정적으로) 좋아, 기대할게. 한 번 불러봐!"
,,,"(박지원이 마이크 앞에서 노래를 부르기 시작하고, 주인공은 그 노래를 집중해서 듣는다.)"
,,박지원,"(노래를 마치며) 어때, 주인공 씨? 어떤 점을 고치면 좋을까?"
,,주인공,"(감탄하며) 정말 감동적이었어, 지원 씨. 감정이 잘 전달됐어. "
,,주인공,그런데 몇 군데 음정이 살짝 불안한 부분이 있었어. 그 부분만 조금 더 연습하면 완벽할 것 같아.
,,박지원,(미소 지으며) 고마워! 피드백 정말 고마워. 그럼 그 부분을 다시 연습해볼게.
,,주인공,"(따뜻하게) 그래, 나도 옆에서 응원할게. 지원 씨는 정말 잘하고 있어."
,,박지원,"(활기차게) 고마워, 주인공 씨! 나도 열심히 해서 더 좋은 모습 보여줄게."
,,,(박지원이 주인공의 피드백을 반영해 다시 노래를 연습한다.)
,,박지원,"(다시 노래를 부르며) 이번엔 어때, 주인공 씨?"
,,주인공,"(미소 지으며) 훨씬 좋아졌어, 지원 씨. 정말 잘했어. 이제 거의 완벽해."
,,박지원,(활기차게) 정말? 주인공 씨 덕분에 많이 나아진 것 같아. 고마워!
,,주인공,"(따뜻하게) 나도 고마워, 지원 씨. 함께 연습해서 정말 즐거웠어."
,,박지원,(활기차게) 나도! 우리 앞으로도 같이 연습하자. 주인공 씨랑 함께하면 더 열심히 할 수 있을 것 같아.
,,주인공,"(긍정적으로) 그래, 앞으로도 같이 열심히 하자. 지원 씨와 함께해서 정말 기뻐."
,,박지원,(미소 지으며) 나도! 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 연습 후엔 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[5:0707:006],,,
,e105,주인공,"(밝게) 안녕, 지원 씨! 여기서 뭐하고 있어?"
,,박지원,"(활기차게) 어, 안녕! 그냥 쉬면서 음료 한 잔 마시고 있었어. 주인공 씨도 한 잔 할래?"
,,주인공,"(호기심 가득) 좋아, 나도 음료 한 잔 마시고 싶어. 뭐 마시고 있어?"
,,박지원,(웃으며) 난 아이스 아메리카노 마시고 있어. 주인공 씨도 한 잔 시켜봐. 여기 커피가 정말 맛있거든.
,,주인공,(긍정적으로) 그럼 나도 아이스 아메리카노로 할게. (음료를 주문하며) 지원 씨는 요즘 어떻게 지내?
,,박지원,"(신나게) 요즘 연습하느라 바쁘지만, 정말 즐거워. 주인공 씨와 함께 연습해서 더 재미있어졌어."
,,주인공,(따뜻하게) 나도 지원 씨 덕분에 즐겁게 연습하고 있어. 지원 씨는 정말 열심히 하는 것 같아.
,,박지원,(미소 지으며) 고마워! 주인공 씨도 항상 열심히 하잖아. 우리 서로 응원하면서 힘내자.
,,,(주인공과 박지원이 음료를 마시며 대화를 나눈다.)
,,주인공,(호기심 가득) 지원 씨는 운동을 정말 좋아하는 것 같아. 어떤 운동을 제일 좋아해?
,,박지원,"(활기차게) 난 축구를 제일 좋아해! 팀워크가 중요하고, 뛰는 게 정말 재미있거든. 나중에 다 같이 축구하러 가자!"
,,주인공,(웃으며) 좋아! 나도 축구 좋아해. 다 같이 하면 정말 재미있을 것 같아.
,,박지원,(신나게) 그럼 꼭 같이 가자. 주인공 씨랑 운동하면 더 즐거울 것 같아.
,,주인공,"(긍정적으로) 그래, 기대돼. 지원 씨 덕분에 나도 더 열심히 운동하게 되는 것 같아."
,,박지원,(미소 지으며) 나도 주인공 씨 덕분에 더 열심히 할 수 있어. 우리 같이 힘내서 좋은 결과 만들어보자.
,,주인공,"(따뜻하게) 맞아, 우리 함께 힘내자. 지원 씨와 함께라면 뭐든지 할 수 있을 것 같아."
,,박지원,"(활기차게) 그럼 앞으로도 계속 같이 연습하고, 운동하고, 즐겁게 지내자. 주인공 씨와 함께라면 정말 즐거울 것 같아."
,,주인공,"(미소 지으며) 그래, 앞으로도 계속 같이하자. 지원 씨와 함께해서 정말 기뻐."
[6:0708:010],,,
,e107,주인공,"(밝게) 안녕, 지원 씨! 팬미팅 준비 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 팬들을 위해 열심히 준비하고 있어. 주인공 씨도 도와줄래?"
,,주인공,(호기심 가득) 물론이지! 뭐부터 도와주면 될까?
,,박지원,"(신나게) 음, 여기 장식을 좀 도와줘. 팬들이 좋아할 만한 곳에 붙여줘야 해."
,,주인공,(긍정적으로) 알겠어. 그럼 이쪽에 붙이면 어때?
,,박지원,"(미소 지으며) 완벽해! 주인공 씨, 센스가 정말 좋네. 그럼 이제 테이블 세팅을 도와줄래?"
,,주인공,"(열심히 세팅하며) 좋아, 지원 씨는 정말 열심히 준비하네. 팬들이 정말 좋아할 거야."
,,박지원,"(활기차게) 팬들이 와주시는 게 정말 고맙고, 그분들을 위해 뭐든지 하고 싶어. 주인공 씨도 팬미팅 기대돼?"
,,주인공,"(웃으며) 응, 정말 기대돼. 지원 씨가 준비한 만큼 팬들도 즐거워할 거야."
,,,(박지원과 주인공이 함께 팬미팅 장소를 꾸미며 대화를 나눈다.)
,,박지원,"(진지하게) 주인공 씨, 팬미팅 때 어떤 이벤트를 하면 좋을까? 팬들과 더 가까워지고 싶어."
,,주인공,"(생각하며) 팬들과 함께하는 게임이나, Q&A 시간을 가지면 좋을 것 같아. 지원 씨의 진솔한 이야기를 들려주면 팬들이 정말 좋아할 거야."
,,박지원,(신나게) 좋은 생각이야! 그럼 팬들과 함께할 게임을 준비해볼게. Q&A 시간도 꼭 넣어야겠다.
,,주인공,"(긍정적으로) 맞아, 팬들은 지원 씨의 이야기를 듣고 싶어 할 거야. 나도 기대돼."
,,박지원,"(감사한 마음으로) 정말 고마워, 주인공 씨. 네 덕분에 좋은 아이디어를 많이 얻었어. 우리 함께 준비해서 멋진 팬미팅을 만들어보자."
,,주인공,"(미소 지으며) 그래, 지원 씨와 함께 준비해서 정말 즐거워. 팬들도 분명 좋아할 거야."
,,박지원,(활기차게) 나도! 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 팬미팅 준비를 마친 후엔 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[7:0709:001],,,
,e106,주인공,"(밝게) 안녕, 지원 씨! 춤 연습 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 오늘은 춤 연습 좀 하려고 해. 주인공 씨도 같이 할래?"
,,주인공,(호기심 가득) 좋아! 나도 춤추는 거 좋아해. 어떤 춤을 연습 중이야?
,,박지원,(신나게) 오늘은 최신 유행하는 K-pop 댄스를 연습 중이야. 이 춤은 정말 에너지가 넘쳐서 재미있어.
,,주인공,(긍정적으로) 정말 기대돼! 나도 빨리 배워보고 싶어. 그럼 같이 시작해볼까?
,,,(박지원이 주인공에게 춤 동작을 가르쳐주며 함께 연습을 시작한다.)
,,박지원,"(춤을 추며) 먼저 이 동작부터 따라해봐. 이렇게 팔을 올리고, 몸을 회전시키는 거야."
,,주인공,(따라하며) 이렇게 맞아?
,,박지원,(미소 지으며) 맞아! 잘하고 있어. 이제 다음 동작으로 넘어가자. 이번엔 발을 빠르게 움직여야 해.
,,주인공,(열심히 따라하며) 알겠어. 정말 재미있네!
,,박지원,"(활기차게) 그렇지? 춤추면 스트레스도 풀리고, 몸도 건강해져. 나중에 다 같이 공연도 해보자!"
,,주인공,(긍정적으로) 좋아! 지원 씨와 함께 춤추는 게 정말 즐거워.
,,박지원,(신나게) 나도 주인공 씨랑 춤추는 게 정말 즐거워. 우리 계속 연습해서 멋진 무대 만들어보자.
,,,(박지원과 주인공이 함께 춤을 연습하며 즐거운 시간을 보낸다.)
,,박지원,(춤을 마치며) 오늘 연습 정말 좋았어. 주인공 씨 덕분에 더 열심히 할 수 있었어.
,,주인공,(미소 지으며) 나도 지원 씨 덕분에 정말 즐거운 시간이었어. 다음에도 같이 연습하자.
,,박지원,(활기차게) 물론이지! 다음에도 같이 연습해서 더 멋진 춤을 완성해보자.
,,주인공,"(긍정적으로) 그래, 기대할게. 지원 씨와 함께라면 뭐든지 할 수 있을 것 같아."
,,박지원,(미소 지으며) 나도 주인공 씨와 함께라면 뭐든지 가능할 것 같아. 
,,박지원,그럼 이따가 다 같이 음료수 한 잔 하러 가자. 춤추고 나면 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[8:0710:008],,,
,e108,주인공,"(밝게) 안녕, 지원 씨! 여기서 공부 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 요즘 공부도 열심히 해야 하잖아. 주인공 씨도 같이 할래?"
,,주인공,"(호기심 가득) 좋아, 나도 같이 공부할게. 어떤 과목 공부 중이야?"
,,박지원,(신나게) 오늘은 영어 공부하고 있어. 시험도 준비해야 하니까. 주인공 씨는 어떤 과목 공부할 거야?
,,주인공,(긍정적으로) 난 수학 공부 좀 해야 할 것 같아. 그럼 같이 열심히 해보자.
,,,(박지원과 주인공이 함께 책상에 앉아 공부를 시작한다.)
,,박지원,(책을 넘기며) 영어 단어가 참 어렵네. 주인공 씨는 영어 잘해?
,,주인공,(미소 지으며) 나도 영어 어렵다고 생각해. 하지만 같이 공부하면 더 잘할 수 있을 것 같아.
,,박지원,"(활기차게) 맞아, 같이 하면 더 재미있고, 집중도 잘 되는 것 같아. 그럼 내가 모르는 단어 좀 물어봐도 될까?"
,,주인공,(긍정적으로) 물론이지. 내가 아는 한 최대한 도와줄게.
,,박지원,(미소 지으며) 정말 고마워! 그럼 이 단어는 무슨 뜻이야?
,,주인공,(생각하며) 이 단어는 '희망'이라는 뜻이야. 문맥에 맞게 사용해보면 더 쉽게 이해할 수 있을 거야.
,,박지원,(감탄하며) 정말 유익하네! 주인공 씨 덕분에 영어가 좀 더 쉽게 느껴져.
,,주인공,(따뜻하게) 나도 지원 씨 덕분에 수학이 재미있어졌어. 서로 도와가면서 공부하면 더 잘할 수 있을 것 같아.
,,,(박지원과 주인공이 함께 공부를 계속한다.)
,,박지원,(공부를 마치며) 오늘 정말 유익한 시간이었어. 주인공 씨 덕분에 영어가 더 재미있어졌어.
,,주인공,(미소 지으며) 나도 지원 씨 덕분에 수학이 더 쉽게 느껴졌어. 다음에도 같이 공부하자.
,,박지원,(활기차게) 물론이지! 다음에도 같이 공부해서 더 좋은 성적 받자.
,,주인공,"(긍정적으로) 그래, 기대할게. 지원 씨와 함께해서 정말 기뻐."
,,박지원,(미소 지으며) 나도! 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 공부 후엔 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[9:0711:002],,,
,e104,주인공,"(밝게) 안녕, 지원 씨! 녹음 준비 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 오늘은 녹음을 좀 해보려고 해. 주인공 씨도 들어봐줄래?"
,,주인공,(호기심 가득) 물론이지! 어떤 곡을 녹음할 생각이야?
,,박지원,(신나게) 내가 좋아하는 팝송이야. 감정을 잘 담아서 부르고 싶어.
,,주인공,(긍정적으로) 정말 기대돼! 그럼 한 번 불러봐.
,,,"(박지원이 마이크 앞에서 노래를 부르기 시작하고, 주인공은 그 노래를 집중해서 듣는다.)"
,,박지원,"(노래를 마치며) 어때, 주인공 씨? 어떤 점을 고치면 좋을까?"
,,주인공,"(감탄하며) 정말 감동적이었어, 지원 씨. 감정이 잘 전달됐어. "
,,주인공,그런데 몇 군데 음정이 살짝 불안한 부분이 있었어. 그 부분만 조금 더 연습하면 완벽할 것 같아.
,,박지원,(미소 지으며) 고마워! 피드백 정말 고마워. 그럼 그 부분을 다시 연습해볼게.
,,주인공,"(따뜻하게) 그래, 나도 옆에서 응원할게. 지원 씨는 정말 잘하고 있어."
,,박지원,"(활기차게) 고마워, 주인공 씨! 나도 열심히 해서 더 좋은 모습 보여줄게."
,,,(박지원이 주인공의 피드백을 반영해 다시 노래를 연습한다.)
,,박지원,"(다시 노래를 부르며) 이번엔 어때, 주인공 씨?"
,,주인공,"(미소 지으며) 훨씬 좋아졌어, 지원 씨. 정말 잘했어. 이제 거의 완벽해."
,,박지원,(활기차게) 정말? 주인공 씨 덕분에 많이 나아진 것 같아. 고마워!
,,주인공,"(따뜻하게) 나도 고마워, 지원 씨. 함께 연습해서 정말 즐거웠어."
,,박지원.,(활기차게) 나도! 우리 앞으로도 같이 연습하자. 주인공 씨랑 함께하면 더 열심히 할 수 있을 것 같아
,,주인공,"(긍정적으로) 그래, 앞으로도 같이 열심히 하자. 지원 씨와 함께해서 정말 기뻐."
,,박지원,(미소 지으며) 나도! 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 연습 후엔 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[10:0713:001],,,
,e106,주인공,"(밝게) 안녕, 지원 씨! 오늘도 춤 연습 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 오늘은 댄스 퍼포먼스를 연습 중이야. 무대에서 멋지게 보이고 싶어서."
,,주인공,"(호기심 가득) 와, 정말 멋지다! 어떤 곡에 맞춰 춤추고 있어?"
,,박지원,"(신나게) 최신 K-pop 곡이야. 동작이 좀 어려운데, 연습하면 할수록 재미있어져."
,,주인공,(긍정적으로) 기대돼! 나도 한번 배워보고 싶어. 같이 연습해도 될까?
,,박지원,(미소 지으며) 당연하지! 같이 하면 더 재미있을 거야. 그럼 먼저 이 동작부터 시작해볼까?
,,,(박지원이 주인공에게 춤 동작을 가르쳐주며 함께 연습을 시작한다.)
,,박지원,"(춤을 추며) 이 동작은 이렇게 팔을 올리고, 몸을 회전시키는 거야. 천천히 따라해봐."
,,주인공,(따라하며) 이렇게 맞아?
,,박지원,(미소 지으며) 맞아! 잘하고 있어. 이제 다음 동작으로 넘어가자. 이번엔 발을 빠르게 움직여야 해.
,,주인공,(열심히 따라하며) 알겠어. 정말 재미있네!
,,박지원,"(활기차게) 그렇지? 춤추면 스트레스도 풀리고, 몸도 건강해져. 나중에 다 같이 공연도 해보자!"
,,주인공,(긍정적으로) 좋아! 지원 씨와 함께 춤추는 게 정말 즐거워.
,,박지원,(신나게) 나도 주인공 씨랑 춤추는 게 정말 즐거워. 우리 계속 연습해서 멋진 무대 만들어보자.
,,,(박지원과 주인공이 함께 춤을 연습하며 즐거운 시간을 보낸다.)
,,박지원,(춤을 마치며) 오늘 연습 정말 좋았어. 주인공 씨 덕분에 더 열심히 할 수 있었어.
,,주인공,(미소 지으며) 나도 지원 씨 덕분에 정말 즐거운 시간이었어. 다음에도 같이 연습하자.
,,박지원,(활기차게) 물론이지! 다음에도 같이 연습해서 더 멋진 춤을 완성해보자.
,,주인공,"(긍정적으로) 그래, 기대할게. 지원 씨와 함께라면 뭐든지 할 수 있을 것 같아."
,,박지원,(미소 지으며) 나도 주인공 씨와 함께라면 뭐든지 가능할 것 같아. 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 춤추고 나면 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[11:0714:006],,,
,e105,주인공,"(밝게) 안녕, 지원 씨! 여기서 뭐하고 있어?"
,,박지원,"(활기차게) 어, 안녕! 그냥 쉬면서 음료 한 잔 마시고 있었어. 주인공 씨도 한 잔 할래?"
,,주인공,"(호기심 가득) 좋아, 나도 음료 한 잔 마시고 싶어. 뭐 마시고 있어?"
,,박지원,(웃으며) 난 아이스 아메리카노 마시고 있어. 주인공 씨도 한 잔 시켜봐. 여기 커피가 정말 맛있거든.
,,주인공,(긍정적으로) 그럼 나도 아이스 아메리카노로 할게. (음료를 주문하며) 지원 씨는 요즘 어떻게 지내?
,,박지원,"(신나게) 요즘 연습하느라 바쁘지만, 정말 즐거워. 주인공 씨와 함께 연습해서 더 재미있어졌어."
,,주인공,(따뜻하게) 나도 지원 씨 덕분에 즐겁게 연습하고 있어. 지원 씨는 정말 열심히 하는 것 같아.
,,박지원,(미소 지으며) 고마워! 주인공 씨도 항상 열심히 하잖아. 우리 서로 응원하면서 힘내자.
,,,(주인공과 박지원이 음료를 마시며 대화를 나눈다.)
,,주인공,(호기심 가득) 지원 씨는 운동을 정말 좋아하는 것 같아. 어떤 운동을 제일 좋아해?
,,박지원,"(활기차게) 난 축구를 제일 좋아해! 팀워크가 중요하고, 뛰는 게 정말 재미있거든. 나중에 다 같이 축구하러 가자!"
,,주인공,(웃으며) 좋아! 나도 축구 좋아해. 다 같이 하면 정말 재미있을 것 같아.
,,박지원,(신나게) 그럼 꼭 같이 가자. 주인공 씨랑 운동하면 더 즐거울 것 같아.
,,주인공,"(긍정적으로) 그래, 기대돼. 지원 씨 덕분에 나도 더 열심히 운동하게 되는 것 같아."
,,박지원,(미소 지으며) 나도 주인공 씨 덕분에 더 열심히 할 수 있어. 우리 같이 힘내서 좋은 결과 만들어보자.
,,주인공,"(따뜻하게) 맞아, 우리 함께 힘내자. 지원 씨와 함께라면 뭐든지 할 수 있을 것 같아."
,,박지원,"(활기차게) 그럼 앞으로도 계속 같이 연습하고, 운동하고, 즐겁게 지내자. 주인공 씨와 함께라면 정말 즐거울 것 같아."
,,주인공,"(미소 지으며) 그래, 앞으로도 계속 같이하자. 지원 씨와 함께해서 정말 기뻐."
[12:0715:004],,,
,e109,주인공,"(밝게) 안녕, 지원 씨! 리허설 준비 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 오늘은 무대 리허설을 하고 있어. 공연을 앞두고 준비해야 할 게 많아서."
,,주인공,"(호기심 가득) 와, 정말 멋지다! 어떤 곡을 리허설 중이야?"
,,박지원,(신나게) 내가 좋아하는 팝송이야. 무대에서 멋지게 보이고 싶어서 열심히 연습 중이야.
,,주인공,(긍정적으로) 기대돼! 나도 한 번 보고 싶어. 그럼 리허설 시작해볼까?
,,박지원,"(미소 지으며) 좋아, 그럼 시작해볼게. 잘 봐줘!"
,,,(박지원이 무대에서 노래와 춤을 선보이며 리허설을 시작한다. 주인공은 집중해서 박지원을 지켜본다.)
,,박지원,"(리허설을 마치며) 어때, 주인공 씨? 어떤 점을 고치면 좋을까?"
,,주인공,"(감탄하며) 정말 멋졌어, 지원 씨. 무대에서의 감정 표현이 정말 좋았어. "
,,주인공,"다만, 몇 군데 동작이 조금 어색해 보였어. 그 부분만 조금 더 연습하면 완벽할 것 같아."
,,박지원,(미소 지으며) 고마워! 피드백 정말 고마워. 그럼 그 부분을 다시 연습해볼게.
,,주인공,"(따뜻하게) 그래, 나도 옆에서 응원할게. 지원 씨는 정말 잘하고 있어."
,,박지원,"(활기차게) 고마워, 주인공 씨! 나도 열심히 해서 더 좋은 모습 보여줄게."
,,,(박지원이 주인공의 피드백을 반영해 다시 리허설을 시작한다.)
,,박지원,"(다시 리허설을 마치며) 이번엔 어때, 주인공 씨?"
,,주인공,"(미소 지으며) 훨씬 좋아졌어, 지원 씨. 정말 잘했어. 이제 거의 완벽해."
,,박지원,(활기차게) 정말? 주인공 씨 덕분에 많이 나아진 것 같아. 고마워!
,,주인공,"(따뜻하게) 나도 고마워, 지원 씨. 함께 연습해서 정말 즐거웠어."
,,박지원,(활기차게) 나도! 우리 앞으로도 같이 연습하자. 주인공 씨랑 함께하면 더 열심히 할 수 있을 것 같아.
,,주인공,"(긍정적으로) 그래, 앞으로도 같이 열심히 하자. 지원 씨와 함께해서 정말 기뻐."
,,박지원,(미소 지으며) 나도! 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 연습 후엔 시원한 음료가 최고거든.
,,주인공,"(웃으며) 좋아, 그럼 이따가 봐!"
[13:0716:010],,,
,e110,주인공,"(밝게) 안녕, 지원 씨! 팬미팅 잘 진행되고 있나요?"
,,박지원,"(활기차게) 어, 안녕! 팬들과 함께 이야기 나누고 있어. 정말 즐거운 시간이야. 주인공 씨도 함께해줄래?"
,,주인공,(호기심 가득) 물론이지! 어떤 이야기를 나누고 있어?
,,박지원,(웃으며) 팬들이 나에게 궁금한 것들을 물어보고 있어. 나도 팬들의 이야기를 듣고 있고.
,,팬1,"(활발하게) 지원 씨, 연습할 때 가장 힘들었던 순간은 언제였나요?"
,,박지원,"(생각하며) 음, 가장 힘들었던 순간은 무대 공포증을 극복하려고 연습할 때였어. 하지만 그 과정을 통해 많은 것을 배웠지."
,,팬2,"(호기심 가득) 지원 씨, 작곡할 때 가장 영감을 많이 받는 순간은 언제인가요?"
,,박지원,(부드럽게) 나는 운동하거나 자연 속에 있을 때 많은 영감을 받아. 그 순간들이 나에게 큰 힐링이 되거든.
,,주인공,"(미소 지으며) 지원 씨, 팬들이 정말 많이 사랑해주시는 것 같아요. 함께 이야기 나누는 시간이 정말 소중해 보이네요."
,,박지원,"(감사한 마음으로) 맞아, 주인공 씨. 팬들과 함께하는 시간이 나에게도 큰 힘이 돼."
,,팬3,"(활기차게) 주인공 씨, 안녕하세요! 지원 씨와 함께 작업하시면서 가장 인상 깊었던 순간은 언제인가요?"
,,주인공,(생각하며) 저는 지원 씨가 무대 공포증을 극복하기 위해 연습했던 모습이 가장 인상 깊었어요. 정말 많은 노력을 하셨거든요.
,,박지원,(조용히) 주인공 씨가 항상 응원해 주셔서 큰 힘이 됐어요. 그 덕분에 무대에서도 자신감을 가질 수 있었어요.
,,주인공,"(따뜻하게) 감사해요, 지원 씨. 저도 지원 씨의 열정을 보면서 많이 배웠어요. 앞으로도 함께 열심히 해요."
,,팬1,(활발하게) 두 분의 우정이 정말 멋져요! 앞으로도 좋은 모습 기대할게요!
,,박지원,(감사한 마음으로) 정말 감사합니다. 여러분 덕분에 힘이 나요. 앞으로도 열심히 할게요.
