col_1,col_2,col_3,col_4
,e302,주인공,"(긴장된 듯) 와, 드디어 첫 예능 촬영이네요. 다들 준비됐어요?"
,,박지원:,(밝게) 당연하지! 이게 바로 우리가 주목받을 기회잖아. 긴장하지 말고 즐기자!
,,유아라,"(조용히) 맞아요, 너무 긴장하지 않으면 좋겠어요. 저도 떨리긴 하지만 열심히 해볼게요."
,,김유진,(웃으며) 다들 파이팅! 저는 즐겁게 임할 거예요. 여러분도 너무 걱정하지 마세요.
,,PD,"(들어오며) 자, 다들 준비됐나요? 오늘은 간단한 자기소개와 팀워크 게임을 할 거예요. 긴장하지 말고 자연스럽게 해주세요."
,,주인공,"(미소 지으며) 네, 준비됐습니다. 잘 부탁드립니다!"
,,PD,"(카메라를 보며) 좋아요, 그러면 먼저 자기소개부터 시작해볼까요? 주인공 씨부터 해볼까요?"
,,주인공,(밝게) 안녕하세요! 저는 이번 서바이벌에 참가하게 된 주인공입니다. 잘 부탁드립니다!
,,유아라,"(조용히) 안녕하세요, 저는 유아라입니다. 음악을 정말 좋아해서 이번 기회를 기대하고 있어요. 잘 부탁드립니다."
,,박지원,(활기차게) 안녕하십니까! 저는 박지원입니다. 에너지 넘치고 열심히 할 자신 있어요. 잘 부탁드립니다!
,,김유진,(웃으며) 안녕하세요! 저는 김유진입니다. 요리를 좋아하고 사람들과 어울리는 걸 즐깁니다. 잘 부탁드려요!
,,PD,"(미소 지으며) 모두 반갑습니다. 그럼 이제 팀워크 게임을 해볼 건데요, 먼저 두 팀으로 나누겠습니다. "
,,PD,"주인공 씨와 유아라 씨, 박지원 씨와 김유진 씨 이렇게 두 팀으로 나뉠게요."
,,박지원,(신나게) 좋아! 유진이랑 팀이네! 우리 잘해보자!
,,김유진,"(활발하게) 응, 우리 파이팅! 다른 팀도 잘해요!"
,,PD,첫 번째 게임은 '연결된 마음'입니다. 
,,PD,한 사람이 눈을 가리고 다른 사람이 안내해서 장애물을 피하며 목표 지점에 도달하는 게임이에요. 준비되셨나요?
,,주인공,"(결의에 차서) 네, 준비됐습니다!"
,,유아라,"(긴장하며) 저도 준비됐어요. 주인공 씨, 잘 부탁드려요."
,,박지원,"(활기차게) 유진이, 우리도 잘해보자!"
,,김유진,"(웃으며) 응, 같이 힘내자!"
,,,(두 팀은 열심히 게임에 임하며 서로를 도와가며 장애물을 피한다. 긴장된 분위기 속에서도 서로 웃음과 응원이 넘친다.)
,,PD,(박수치며) 잘하셨어요! 두 팀 다 정말 잘했어요. 이 게임을 통해 서로 더 가까워진 것 같네요.
,,주인공,"(웃으며) 맞아요, 정말 재미있었어요. 유아라 씨 덕분에 무사히 끝냈어요."
,,유아라,(미소 지으며) 주인공 씨가 잘 안내해줘서 저도 잘할 수 있었어요. 고마워요.
,,박지원,"(신나게) 우리 팀도 최고였어! 유진이, 너 정말 잘했어!"
,,김유진,"(웃으며) 고마워, 지원아! 우리 정말 잘했어!"
,,PD,"(미소 지으며) 여러분, 정말 고생하셨습니다. 오늘 촬영은 여기서 마치겠습니다. 다음에도 잘 부탁드려요!"
,,주인공,"(활기차게) 네, 감사합니다!"
[3:0712:005],,,
,e303,주인공,(밝게) 오늘도 촬영이네요. 다들 준비됐죠?
,,박지원,(활기차게) 당연하지! 오늘은 어떤 게임을 할지 정말 기대돼.
,,유아라,(조용히) 저도 조금 더 여유로워진 것 같아요. 모두 잘 부탁드려요.
,,김유진,"(웃으며) 맞아요, 저도 기대돼요. 오늘도 재미있게 해봐요!"
,,PD,"(들어오며) 여러분, 안녕하세요! 오늘도 즐거운 촬영을 기대해 주세요. "
,,PD,이번엔 팀 대결이 아니라 모두가 함께하는 협동 게임을 할 거예요.
,,주인공,"(호기심 가득) 협동 게임이라니, 무슨 게임인지 궁금하네요."
,,PD,(미소 지으며) 오늘은 '스피드 퀴즈'를 할 겁니다. 한 명이 단어를 설명하고 나머지 세 명이 맞히는 게임이에요. 
,,PD,제한 시간 내에 얼마나 많은 단어를 맞히는지 보겠습니다. 주인공 씨부터 설명자 역할을 해볼까요?
,,주인공,"(결의에 차서) 네, 좋아요! 제가 설명할게요. 여러분, 준비됐죠?"
,,박지원,"(신나게) 준비됐어! 주인공 씨, 잘 부탁해!"
,,유아라,(부드럽게) 저도 열심히 맞혀볼게요. 파이팅!
,,김유진,(활발하게) 다들 화이팅! 우리가 많이 맞힐 수 있을 거예요!
,,PD,"(카메라를 보며) 그럼 시작합니다! 주인공 씨, 첫 번째 단어는 '피아노'입니다. 설명 시작하세요."
,,주인공,"(신나게) 자, 이건 유아라 씨가 좋아하는 악기예요. 건반이 있고, 연주하면 아름다운 소리가 나요."
,,유아라,(빠르게) 피아노!
,,주인공,맞았어요! 다음 단어는 '축구'. 이건 박지원 씨가 좋아하는 스포츠예요. 공을 발로 차서 골을 넣는 경기죠.
,,박지원,(힘차게) 축구!
,,주인공,맞았어요! 이번엔 '디저트'. 김유진 씨가 자주 만드는 달콤한 음식이에요. 주로 식사 후에 먹죠.
,,김유진,(웃으며) 디저트!
,,주인공,맞았어요! 이번엔 '댄스'. 우리가 무대에서 자주 하는 움직임이에요. 박지원 씨가 특히 잘하죠.
,,박지원,(활기차게) 댄스!
,,PD,(박수치며) 잘하셨어요! 제한 시간 내에 네 개나 맞혔네요. 다음은 유아라 씨 차례입니다. 
,,PD,첫 번째 단어는 '연습실'입니다. 설명 시작하세요.
,,유아라,(조용히) 우리가 매일 모여서 춤과 노래를 연습하는 장소예요.
,,김유진,(빠르게) 연습실!
,,유아라,맞았어요! 다음 단어는 '마이크'. 노래할 때 이걸 사용해요. 소리를 크게 해주는 장치죠.
,,박지원,(신나게) 마이크!
,,유아라,맞았어요! 이번엔 '팬미팅'. 팬들과 직접 만나서 소통하는 이벤트예요.
,,주인공,(미소 지으며) 팬미팅!
,,유아라,맞았어요! 이번엔 '책'. 독서할 때 필요한 물건이에요. 글이 많이 쓰여 있어요.
,,김유진,(활발하게) 책!
,,PD,(박수치며) 잘하셨어요! 이번에도 네 개를 맞혔네요. 다들 정말 잘하고 있어요. 
,,PD,다음은 박지원 씨 차례입니다. 첫 번째 단어는 '음악'입니다. 설명 시작하세요.
,,박지원,(활기차게) 우리가 춤추고 노래할 때 사용하는 예술의 한 형태예요. 듣기 좋고 기분을 좋게 해줘요.
,,유아라,(빠르게) 음악!
,,박지원,맞았어요! 다음 단어는 '카페'. 우리가 자주 가서 음료를 마시는 장소예요. 다양한 음료와 디저트를 팔죠.
,,김유진,(신나게) 카페!
,,박지원,맞았어요! 이번엔 '리허설'. 공연 전에 미리 연습하는 과정이에요. 무대에서 하는 최종 점검이죠.
,,주인공,(활기차게) 리허설!
,,박지원,맞았어요! 이번엔 '의상'. 무대에서 입는 특별한 옷이에요. 스타일리스트가 준비해주죠.
,,유아라,(부드럽게) 의상!
,,PD,(박수치며) 역시 잘하셨어요! 이번에도 네 개를 맞혔어요. 마지막으로 김유진 씨 차례입니다. 
,,PD,첫 번째 단어는 '요리'입니다. 설명 시작하세요.
,,김유진,(웃으며) 제가 자주 하는 활동이에요. 음식을 만들고 맛있는 요리를 창조하는 과정이죠.
,,박지원,(빠르게) 요리!
,,김유진,맞았어요! 다음 단어는 '무대'. 우리가 공연할 때 서는 장소예요. 관객들이 보는 곳이죠.
,,유아라,(조용히) 무대!
,,김유진,맞았어요! 이번엔 '촬영'. 카메라로 우리 모습을 찍는 과정이에요. 주로 방송국에서 해요.
,,주인공,(신나게) 촬영!
,,김유진,맞았어요! 이번엔 '스타일링'. 옷과 메이크업을 멋지게 꾸며주는 작업이에요. 스타일리스트가 도와주죠.
,,박지원,(활기차게) 스타일링!
,,PD,(박수치며) 모두 정말 잘하셨어요! 오늘 촬영은 여기서 마치겠습니다. 다음에도 잘 부탁드려요!
,,주인공,"(미소 지으며) 네, 감사합니다!"
[4:0719:005],,,
,e304,주인공,(미소 지으며) 오늘도 촬영이네요. 다들 기분은 어때요?
,,박지원,(활기차게) 나는 기분 최고야! 오늘은 또 어떤 재미있는 게임을 할지 기대돼.
,,유아라,(조용히) 저도 이제 조금 익숙해졌어요. 다들 잘 부탁드려요.
,,김유진,"(웃으며) 맞아요, 저도 기대돼요. 오늘은 어떤 게임을 할지 정말 궁금해요!"
,,PD,"(들어오며) 안녕하세요, 여러분! 오늘도 즐거운 촬영이 될 거예요. "
,,PD,오늘은 '팀 빌딩' 게임을 할 겁니다. 
,,PD,한 명이 가면을 쓰고 나머지 세 명이 질문을 해서 가면 쓴 사람이 누구인지 맞히는 게임이에요.
,,주인공,(호기심 가득) 재미있겠네요! 누가 먼저 가면을 쓸까요?
,,PD,"첫 번째는 주인공 씨가 가면을 쓰고, 나머지 세 명이 질문을 할 거예요. 준비됐나요?"
,,주인공,"(결의에 차서) 네, 준비됐습니다. 가면 쓰겠습니다!"
,,,(주인공이 가면을 쓰고 자리에 앉는다.)
,,박지원,"(신나게) 좋아, 그럼 내가 먼저 질문할게. 너의 취미는 뭐야?"
,,주인공,(가면을 쓰고) 제 취미는 독서와 운동이에요.
,,유아라,(조용히) 좋아하는 음식은 뭐야?
,,주인공,"(웃으며) 저는 다양한 음식을 좋아하지만, 특히 디저트를 좋아해요."
,,김유진,(활발하게) 그렇다면 너의 장래 희망은?
,,주인공,(진지하게) 저는 멋진 아티스트가 되어 많은 사람들에게 감동을 주고 싶어요.
,,박지원,"(확신하며) 오, 이건 너무 쉽잖아. 이건 주인공 씨야!"
,,주인공,(가면을 벗으며) 맞았어요! 저예요. 다들 너무 잘 맞히네요!
,,PD,(미소 지으며) 잘하셨어요! 그럼 다음은 유아라 씨가 가면을 쓸 차례입니다. 준비됐나요?
,,유아라,"(살짝 긴장하며) 네, 준비됐어요. 가면 쓰겠습니다."
,,,(유아라가 가면을 쓰고 자리에 앉는다.)
,,박지원,"(활기차게) 좋아, 내가 먼저 질문할게. 너의 취미는 뭐야?"
,,유아라,(가면을 쓰고) 제 취미는 그림 그리기와 음악 감상이에요.
,,주인공,(미소 지으며) 좋아하는 동물은 뭐야?
,,유아라,(웃으며) 저는 작은 동물들을 특히 좋아해요. 강아지나 고양이를 좋아해요.
,,김유진,(활발하게) 그렇다면 너의 장래 희망은?
,,유아라:,(조용히) 저는 세계적인 음악 프로듀서가 되고 싶어요.
,,박지원,(신나게) 이건 유아라 씨야! 너무 쉬워.
,,유아라,(가면을 벗으며) 맞았어요. 저예요. 다들 너무 잘 맞히네요.
,,PD,(박수치며) 잘하셨어요! 그럼 다음은 박지원 씨가 가면을 쓸 차례입니다. 준비됐나요?
,,박지원,(활기차게) 당연하지! 가면 쓰겠습니다.
,,,(박지원이 가면을 쓰고 자리에 앉는다.)
,,주인공,"(미소 지으며) 좋아, 내가 먼저 질문할게. 너의 취미는 뭐야?"
,,박지원,(가면을 쓰고) 제 취미는 축구와 춤이에요.
,,유아라,(조용히) 좋아하는 운동은 뭐야?
,,박지원,(신나게) 저는 축구를 가장 좋아해요.
,,김유진,(활발하게) 그렇다면 너의 장래 희망은?
,,박지원,(힘차게) 저는 세계적인 K-pop 아이돌이 되고 싶어요.
,,주인공,(확신하며) 이건 박지원 씨야! 너무 쉬웠어.
,,박지원,(가면을 벗으며) 맞았어! 나야. 다들 너무 잘하네.
,,PD,(박수치며) 역시 잘하셨어요! 마지막으로 김유진 씨가 가면을 쓸 차례입니다. 준비됐나요?
,,김유진,"(웃으며) 네, 준비됐어요. 가면 쓰겠습니다."
,,,(김유진이 가면을 쓰고 자리에 앉는다.)
,,주인공,"(밝게) 좋아, 내가 먼저 질문할게. 너의 취미는 뭐야?"
,,김유진,(가면을 쓰고) 제 취미는 요리와 사람들과 어울리는 거예요.
,,박지원,(활기차게) 좋아하는 음식은 뭐야?
,,김유진,(웃으며) 저는 달콤한 디저트를 가장 좋아해요.
,,유아라,(조용히) 그렇다면 너의 장래 희망은?
,,김유진,(밝게) 저는 제 요리 프로그램을 가지는 셰프가 되고 싶어요.
,,주인공,(확신하며) 이건 김유진 씨야! 너무 쉬웠어.
,,김유진,(가면을 벗으며) 맞았어요! 다들 너무 잘 맞히네요.
,,PD,(박수치며) 모두 정말 잘하셨어요! 오늘 촬영은 여기서 마치겠습니다. 다음에도 잘 부탁드려요!
,,주인공,"(미소 지으며) 네, 감사합니다!"
[5:0726:005],,,
,e305,주인공,(밝게) 오늘도 촬영이네요! 이제 정말 익숙해진 것 같아요.
,,박지원,"(활기차게) 맞아, 오늘은 또 어떤 재미있는 게임을 할지 기대돼!"
,,유아라,(부드럽게) 저도 조금씩 익숙해지는 것 같아요. 오늘도 잘 부탁드려요.
,,김유진,"(웃으며) 맞아요, 다들 파이팅! 오늘도 즐겁게 해봐요!"
,,PD,"(들어오며) 안녕하세요, 여러분! 오늘도 즐거운 촬영이 될 거예요. "
,,PD,오늘은 '팀워크 챌린지'를 할 겁니다. 각 팀이 서로의 힘을 합쳐서 문제를 해결하는 게임이에요.
,,주인공,"(호기심 가득) 팀워크 챌린지라니, 정말 재미있겠네요! 팀은 어떻게 나누나요?"
,,PD,"오늘은 주인공 씨와 김유진 씨, 유아라 씨와 박지원 씨 이렇게 두 팀으로 나누겠습니다. 준비되셨나요?"
,,박지원,(신나게) 좋아! 유아라 씨랑 한 팀이네! 우리 잘해보자!
,,유아라,"(조용히) 네, 지원 씨. 같이 열심히 해봐요."
,,김유진,"(웃으며) 주인공 씨, 우리도 파이팅! 같이 잘해봐요!"
,,주인공,"(미소 지으며) 네, 유진 씨. 우리도 최선을 다해봐요!"
,,PD,첫 번째 팀워크 챌린지는 '협동 퍼즐 맞추기'입니다. 
,,PD,두 사람이 눈을 가리고 한 사람이 안내해서 퍼즐을 맞추는 게임이에요. 주인공 팀부터 시작해볼까요?
,,주인공,"(결의에 차서) 네, 저와 김유진 씨가 눈을 가리고, 유진 씨가 안내해줄 거예요. 준비됐죠, 유진 씨?"
,,김유진,(활발하게) 당연하죠! 저만 믿으세요. 같이 힘내요!
,,,"(주인공과 김유진이 눈을 가리고, 유진이 두 사람을 안내하여 퍼즐을 맞추기 시작한다.)"
,,김유진,"(차분하게) 주인공 씨, 조금 더 오른쪽으로 가서 그 조각을 집어주세요. "
,,김유진,"맞아요, 그거예요. 이제 왼쪽으로 가서 빈 자리에 넣어주세요."
,,주인공,"(따라하며) 네, 이렇게 하면 될까요?"
,,김유진,(웃으며) 맞아요! 잘하고 있어요. 이제 다음 조각을 찾아볼게요.
,,PD,(미소 지으며) 아주 잘하고 있어요. 계속해서 다른 조각들도 맞춰보세요.
,,,(주인공 팀이 퍼즐을 완성해간다.)
,,PD,(박수치며) 훌륭해요! 이제 유아라 팀 차례입니다. 
,,PD,"유아라 씨와 박지원 씨가 눈을 가리고, 지원 씨가 안내해줄 거예요. 준비됐나요?"
,,박지원,"(신나게) 준비됐지! 유아라 씨, 우리도 잘해보자!"
,,유아라,"(조용히) 네, 지원 씨. 잘 부탁드려요."
,,,"(유아라와 박지원이 눈을 가리고, 지원이 두 사람을 안내하여 퍼즐을 맞추기 시작한다.)"
,,박지원,"(차분하게) 유아라 씨, 오른쪽으로 조금 더 가서 그 조각을 집어주세요. "
,,박지원,"맞아요, 그거예요. 이제 왼쪽으로 가서 빈 자리에 넣어주세요."
,,유아라,(따라하며) 이렇게 하면 될까요?
,,박지원,(웃으며) 맞아요! 잘하고 있어요. 이제 다음 조각을 찾아볼게요.
,,PD,(박수치며) 아주 잘하고 있어요. 계속해서 다른 조각들도 맞춰보세요.
,,,(유아라 팀이 퍼즐을 완성해간다.)
,,PD,(박수치며) 모두 정말 잘하셨어요! 오늘 촬영은 여기서 마치겠습니다. 다음에도 잘 부탁드려요!
,,주인공,"(미소 지으며) 네, 감사합니다!"
[6:0731:004],,,
,e306,주인공,(긴장하며) 드디어 오늘이 최종 선정일이네요. 다들 준비됐어요?
,,박지원,(결의에 차서) 당연하지! 오늘까지 열심히 했으니까 좋은 결과가 있을 거야.
,,유아라,(조용히) 저도 최선을 다했어요. 결과가 어떻게 나올지 떨리네요.
,,김유진,"(웃으며) 맞아요, 다들 열심히 했으니까 좋은 결과 있을 거예요. 서로 힘내요!"
,,MC,"(무대 위에서) 여러분, 긴 기다림 끝에 드디어 아이돌 서바이벌의 최종 선정일이 왔습니다! "
,,MC,지금부터 최종 선정을 시작하겠습니다. 우선 참가자들을 무대로 모시겠습니다!
,,,"(주인공과 유아라, 박지원, 김유진이 무대 위로 올라간다.)"
,,MC,(미소 지으며) 네 명의 참가자들 모두 정말 고생 많으셨습니다. 이제 최종 결과를 발표하겠습니다. 
,,MC,"먼저, 각 참가자의 소감을 들어보겠습니다. 주인공 씨부터 말씀해 주세요."
,,주인공,"(마이크를 잡고) 네, 안녕하세요. 저는 주인공입니다. 이 자리에 설 수 있게 돼서 정말 기쁘고, 함께한 모든 분들께 감사드립니다. "
,,주인공,앞으로도 열심히 하겠습니다. 감사합니다.
,,MC,"(미소 지으며) 감사합니다, 주인공 씨. 다음은 유아라 씨입니다."
,,유아라,"(조용히) 안녕하세요. 저는 유아라입니다. 이 자리에 설 수 있어서 정말 영광이고, 많은 것을 배운 시간들이었습니다."
,,유아라, 앞으로도 열심히 하겠습니다. 감사합니다.
,,MC,"(미소 지으며) 감사합니다, 유아라 씨. 다음은 박지원 씨입니다."
,,박지원,(활기차게) 안녕하세요! 저는 박지원입니다. 이번 서바이벌을 통해 많은 것을 배우고 성장할 수 있었습니다. 
,,박지원,앞으로도 열심히 하겠습니다. 감사합니다!
,,MC,"(미소 지으며) 감사합니다, 박지원 씨. 마지막으로 김유진 씨입니다."
,,김유진,"(웃으며) 안녕하세요. 저는 김유진입니다. 이 자리까지 올 수 있어서 정말 행복하고, 함께한 모든 분들께 감사드립니다. "
,,김유진,앞으로도 최선을 다하겠습니다. 감사합니다!
,,MC,(진지하게) 이제 최종 결과를 발표하겠습니다. 최종 선정된 아이돌은...
,,,(잠시 긴장된 침묵이 흐른다.)
,,MC,(천천히) ...유아라 씨입니다! 축하드립니다!
,,유아라,"(눈물을 글썽이며) 정말 감사합니다. 함께한 모든 분들께 감사드리고, 앞으로도 열심히 하겠습니다. 정말 감사합니다!"
,,주인공,"(미소 지으며) 유아라 씨, 정말 축하해요! 앞으로도 열심히 해요."
,,박지원:,"(기쁘게) 유아라 씨, 축하해! 너 정말 멋졌어."
,,김유진,"(환하게 웃으며) 유아라 씨, 축하해요! 앞으로도 좋은 모습 기대할게요."
,,MC,(박수치며) 모두 축하드립니다. 이번 서바이벌을 통해 많은 것을 배웠을 거라 믿습니다. 
,,MC,앞으로도 모두의 멋진 활동을 기대하겠습니다. 감사합니다!
,,,(네 명의 연습생은 서로를 축하하며 무대를 내려온다.)
,,주인공,(미소 지으며) 다들 정말 고생 많았어요. 앞으로도 계속 열심히 해요!
,,박지원,"(활기차게) 맞아, 우리 모두 파이팅!"
,,유아라,(감사한 마음으로) 모두들 정말 고마워요. 앞으로도 함께 힘내요.
,,김유진,"(웃으며) 맞아요, 우리 모두 최선을 다해요!"
